111222;Ryto progimnazija;Dariaus Gerbutavičiaus g. 9
111223;Sadutė;Z. Sierakausko g. 28
111224;Sakalėlis;S. Stanevičiaus g. 86
111225;Salininkų;Kalviškių g. 1
111226;Salininkų gimnazija;Vaikų g.16
111227;Šaltinėlis;Šaltkalvių g. 13
111228;Šaltinio pagrindinė mokykla;Nemenčinės pl. 16
111229;Salvija;J. Jasinskio g. 17
111230;Santariškių;Santariškių g. 27A
111231;Saulėgrąža;Taikos g. 31
111232;Saulėtekio mokykla-daugiafunkcinis centras;Kaminkelio g. 10
111233;Saulėtekis;Genių g. 12
111234;Saulutė;Miglos g. 1
111235;Sausio 13-osios progimnazija;Architektų g. 166
111236;Šermukšnėlė;Didlaukio g. 66
111237;Šilelis;Sietyno g. 5
111238;Šilo mokykla;Lakštingalų g. 8
111239;Simono Konarskio gimnazija;Statybininkų g. 5
111240;Simono Stanevičiaus progimnazija;S. Stanevičiaus g. 25
111241;Skroblinukas;Skroblų g. 13
111242;Smalsučiai;Minties g. 40
111243;Šnekutis;Vytenio g. 41
111244;Spindulio progimnazija;Rolando Jankausko g. 17
111245;Spragtukas;Žirmūnų g. 108
111246;Spygliukas;Architektų g. 16
111247;Strazdelis;Igno Šimulionio g. 14
111248;Svaja;Architektų g. 210
111249;Sveikuolis;Dūkštų g. 14
111250;Švelnukas;Žalgirio g. 115
111251;Šypsena;P. Višinskio g. 23
111252;Taikos progimnazija;Taikos g. 157
111253;Trakų Vokės;Eduardo Andrė g. 6
111254;Trakų Vokės gimnazija;Trampolio g. 5
111255;Užupiukas;Filaretų g. 19
111256;Vaduvos;Vaduvos g. 14A
111257;Vaidilutė;Rinktinės g. 29
111258;Vaivorykštė;Tuskulėnų g. 42
111259;Vandenis;P. Žadeikos g. 14A
111260;Varpelis;Ukmergės g. 204
111261;Vėjelis (Gabijos g. 21);Gabijos g. 21
111262;Vėjelis (Medeinos g.8A);Medeinos g. 8A
111263;Vėrinėlis;S. Stanevičiaus g. 68
111264;Vėtrungė;Gardino g. 8
111265;Vieversys;Žirmūnų g. 89
111266;Vilija;Taikos g. 15
111267;Vilkpėdės;Gerosios Vilties g. 15
111268;Vilnelė;Pergalės g. 20
111269;Vilnios pagrindinė mokykla;Palydovo g. 29A
111270;Viltenė;Gerosios Vilties g. 7A
111271;Vilties specialioji mokykla-daugiafunkcinis centras;Igno Šimulionio g. 6
111272;Vladislavo Sirokomlės gimnazija;Linkmenų g. 8
111273;Volungės;Volungės g. 10
111274;Voveraitė;Jūratės g. 4A
111275;Žaliakalnio;Pergalės g. 22
111276;Želmenėliai;Šaltkalvių g. 30
111277;Žemuogėlė;Architektų g. 108
111278;Žemyna;Žemynos g. 13
111279;Žiburėlis;Laisvės pr. 46
111280;Žibutė;Architektų g. 62
111281;Žiedas;Žemynos g. 41
111282;Žilvinėlio;Taikos g. 130
111283;Žilvitis;Viršuliškių g. 9
111284;Žiogelis;J. Kolaso g. 15
111285;Žirmūnėliai;Žirmūnų g. 13
111286;Žirniukas;Verkių g. 17
111287;Žolynas;Žolyno g. 45A
111288;Žolynėlis;Žolyno g. 44
111289;Žuvėdra;Parko g. 8A
111290;Žvangutis;Rinktinės g. 38A
111291;Zylutė;Justiniškių g. 45
